,id,lyrics,explicit
0,272451645,"For a while there, it was rough
But lately, I've been doin' better
Than the last four cold Decembers
I recall

And I see my family every month
I found a girl my parents love
She'll come and stay the night
And I think I might have it all

And I thank God every day
For the girl He sent my way
But I know the things He gives me
He can take away

And I hold you every night
And that's a feeling I wanna get used to
But there's no man as terrified
As the man who stands to lose you
...

******* This Lyrics is NOT for Commercial use *******",0
1,275242628,"This ain't Texas (ooh)
Ain't no hold 'em (hey)
So lay your cards down, down, down, down
So park your Lexus (ooh)
And throw your keys up (hey)
Stick around, 'round, 'round, 'round, 'round (stick around)

And I'll be damned if I can't slow-dance with you
Come pour some sugar on me, honey too
It's a real-life boogie and a real-life hoedown
Don't be a bitch, come take it to the floor now, woo, ha

There's a tornado (there's a tornado)
In my city (in my city)
Hit the basement (hit the basement)
That shit ain't pretty (shit ain't pretty)
Rugged whiskey (rugged whiskey)
'Cause we survivin' ('cause we survivin')
Puffin' red-cup kisses, sweet redemption, passin' time, yeah

Ooh, one step to the right
We headed to the dive bar we always thought was nice
Ooh, run me to the left
Then spin me in the middle, boy, I can't read your mind

This ain't Texas (oh)
Ain't no hold 'em (hey)
...

******* This Lyrics is NOT for Commercial use *******",1
2,276929882,"I always wake up in the deep end
Why do I do this every weekend?
I guess I should've kept up my defense alright
We always say that we should be friends then cross the line

You say-ay-ay-ay-ay-ay-ay-ay-ay
""Let's play it safe""
I say-ay-ay-ay-ay-ay-ay-ay-ay
""Yeah, that's okay""

Next day-ay-ay-ay-ay-ay-ay-ay-ay
Back at my place
I say, ""I'll give you space""
No way-ay-ay-ay-ay

All I do is run back to you
Why we keep making the same mistakes?
Cross my heart and come back to you
Why we keep making the same mistakes?

Ooh, ooh, ooh, ooh
...

******* This Lyrics is NOT for Commercial use *******",0
3,258292930,"Something's got a hold of me lately
No, I don't know myself anymore
Feels like the walls are all closing in
And the devil's knocking at my door, whoa

Out of my mind, how many times
Did I tell you I'm no good at being alone?
Yeah, it's taking a toll on me, trying my best to keep
From tearing the skin off my bones, don't you know

I lose control
When you're not next to me
I'm falling apart right in front of you, can't you see?
I lose control
When you're not next to me, mm-hmm
...

******* This Lyrics is NOT for Commercial use *******",0
4,277189732,"I am not Republican, I am not a Liberal
Why the hell can't I just be American without getting political?
The system gon' suppress us all, they don't care about the cost
How's this a democracy when we got communists in charge?
Cancel culture, Nazis, all they're missing is the swastikas
Honestly, this is a psychological holocaust
Pumpin' propaganda through the screen and straight into your brain
You ain't on a plantation, but you definitely still a slave

Race theory is indoctrinating children
Tell blacks they're disadvantaged, tell whites they got white privilege
What a brilliant way to reinforce division
If whites believe they have it easy they will never help you fight the system
And now they burnin' books in untraditional ways
They just traded newspapers for the digital age
Now the facts can be deleted with no physical flames
They just change the information and the truth gets erased

They keep screamin' to wake up, but they're all woke, not awake
We know the system has failed us, and all the media's fake
I swear the government hates us, having opinions is dangerous
The system built to enslave us only works if we're afraid

...

******* This Lyrics is NOT for Commercial use *******",1
5,272502668,"(Dance you outta my head)
(Gonna dance you outta my head)
(Gonna dance you outta my head)
(Gonna dance you outta my head)
(Gonna dance you outta my head)
(Gonna dance you outta my head)
(Gonna dance you outta my head)
(Gonna dance you outta my head)

Walk in the room
And I'm glowing like a million fireflies, mm
A diamond don't glitter half as much as my body tonight
Ah, ah, ah
I catch a glimpse of your face in the neon
Suddenly, begging please, set me free from

Your eyes, your touch
History, secret crush I've gotta hide (I, I, I)
You wanna take me up high (you wanna take me up high)
I wanna dance instead (I wanna dance instead)
Get you out of my head (out of my head)

This is getting so complicated
It's a mess for the ages
And the feeling, feeling inside
Dancing on the edge of disaster
Makes my heart beat faster
And the feeling, the feeling ain't right

...

******* This Lyrics is NOT for Commercial use *******",1
6,275242478,"This ain't Texas (ooh)
Ain't no hold 'em (hey)
So lay your cards down, down, down, down
So park your Lexus (ooh)
And throw your keys up (hey)
Stick around, 'round, 'round, 'round, 'round (stick around)

And I'll be damned if I can't slow-dance with you
Come pour some sugar on me, honey too
It's a real-life boogie and a real-life hoedown
Don't be a bitch, come take it to the floor now, woo, ha

There's a tornado (there's a tornado)
In my city (in my city)
Hit the basement (hit the basement)
That shit ain't pretty (shit ain't pretty)
Rugged whiskey (rugged whiskey)
'Cause we survivin' ('cause we survivin')
Puffin' red-cup kisses, sweet redemption, passin' time, yeah

Ooh, one step to the right
We headed to the dive bar we always thought was nice
Ooh, run me to the left
Then spin me in the middle, boy, I can't read your mind

This ain't Texas (oh)
Ain't no hold 'em (hey)
...

******* This Lyrics is NOT for Commercial use *******",1
7,265274694,"I don't like no whips and chains, and you can't tie me down
But you can whip your lovin' on me, baby
Whip your lovin' on me, baby

I'm vanilla, baby (I don't like no whips and chains, and you can't tie me down)
I'll choke you, but I ain't no killer, baby
She 28 tellin' me I'm still a baby (but you can whip your lovin' on me, baby)
I get love in Detroit like Skilla Baby (whip your lovin' on me, baby)
And the thing about your boy is
I don't like no whips and chains, and you can't tie me down
But you can whip your lovin' on me, baby (that's right, that's right)
Whip your lovin' on me, baby

Young J-A-C-K, AKA
Rico like Suave, Young Enrique
Speakin' of AKA, she's an alpha
But not around your boy, she get quiet 'round your boy, hold on (shh)
Don't know what you heard or what you thought about your boy
But they lied about your boy, goin' dumb, and it's somethin' idiotic 'bout your boy
She wearing cheetah print, that's how bad she wanna be spotted 'round your boy

...

******* This Lyrics is NOT for Commercial use *******",1
8,260716624,"Hmm, oh

The smell of your perfume
I thought I was immune
Looking around this room
Can't help but see the traces of you
This moment is surreal
I can't put into words how I feel

Twin
Where have you been?

Nobody knows me like you do (nobody)
Nobody gon' love me quite like you (nobody, yeah)
Can't even deny it, every time I try it
One look in my eyes, you know I'm lying, lying

...

******* This Lyrics is NOT for Commercial use *******",0
9,259245201,"Hm, hm

I used to float, now I just fall down
I used to know, but I'm not sure now
What I was made for

What was I made for?

Taking a drive, I was an ideal
Looked so alive, turns out I'm not real
Just something you paid for

What was I made for? Hm

'Cause I, I
...

******* This Lyrics is NOT for Commercial use *******",0
10,260205431,"We were good, we were gold
Kinda dream that can't be sold
We were right 'til we weren't
Built a home and watched it burn

Mmm, I didn't wanna leave you, I didn't wanna lie
Started to cry, but then remembered I

I can buy myself flowers
Write my name in the sand
Talk to myself for hours
Say things you don't understand
I can take myself dancing
And I can hold my own hand
Yeah, I can love me better than you can

Can love me better, I can love me better, baby
Can love me better, I can love me better, baby

...

******* This Lyrics is NOT for Commercial use *******",0
11,253912238,"My big brother rode an Indian Scout, it was black like his jacket
American Spirit hangin' outta his mouth, just like our daddy
He kick-started that bike one night and broke mama's heart
He pointed that headlight West, out where the wild things are

He'd call me up every couple of weeks from South California
Talk about the desert and the Joshua Tree and his pretty girl stories
And how he bought an Air stream trailer and a J-45 guitar
Said, ""Little brother, you'd love it out here, out where the wild things are""

Oh, oh-oh, it's hearts on fire and crazy dreams
Oh, oh-oh, the nights ignite like gasoline
...

******* This Lyrics is NOT for Commercial use *******",0
12,267830219,"Mama, who would let you down?
Who made you think you weren't enough
And filled your soul with doubt?
And dad, I needed you around
But what you needed was some space to figure yourself out

Would you go back and do it the same?
Did regret make you wanna change?
Misunderstood, under appreciated
But

Did you know I love this hard because of you?
And I've been learning it's a journey, as I'm walking in your shoes
I'll pass along all of your lessons
...

******* This Lyrics is NOT for Commercial use *******",0
13,276946789,"For a while there, it was rough
But lately, I've been doin' better
Than the last four cold Decembers
I recall

And I see my family every month
I found a girl my parents love
She'll come and stay the night
And I think I might have it all

And I thank God every day
For the girl He sent my way
But I know the things He gives me
He can take away

Oh, and I hold you every night
And that's a feeling I wanna get used to
But there's no man as terrified
As the man who stands to lose you

...

******* This Lyrics is NOT for Commercial use *******",0
14,273172044,"Uh

If they saw what I saw
They would fall the way I fell
But they don't know what you want
And baby, I would never tell

If they know what I know
They would never let you go
So guess what?
I ain't ever lettin' you go

'Cause your lips were made for mine
And my heart would go flatline
If it wasn't beatin' for you all the time

So if I get jealous, I can't help it
I want every bit of you, I guess I'm selfish
It's bad for my mental, but I can't fight it, when
You're out lookin' like you do, but you can't hide it, no

Put you in a frame, ooh, baby, who could blame you?
Glad your mama made you
Makin' me insane, you cannot be explained, ooh
You must be an angel

...

******* This Lyrics is NOT for Commercial use *******",0
15,161976144,"Don't let the old man in
I wanna leave this alone
Can't leave it up to him
He's knocking on my door

And I knew all of my life
That someday it would end
Get up and go outside
Don't let the old man in

Many moons I have lived
...

******* This Lyrics is NOT for Commercial use *******",0
16,260198127,"Rotgut whiskey's gonna ease my mind
Beach towel rests on the dryin' line
Do I remind you of your daddy in his '88 Ford?
Labrador hangin' out the passenger door
The sand from your hair is blowin' in my eyes
Blame it on the beach, grown men don't cry
Do you remember that beat down basement couch?
I'd sing you my love songs and you'd tell me about
How your mama ran off and pawned her ring
I remember, I remember everything

A cold shoulder at closing time
You were begging me to stay 'til the sun rose
Strange words come on out
Of a grown man's mouth when his mind's broke
Pictures and passin' time
...

******* This Lyrics is NOT for Commercial use *******",1
17,253912241,"You got a fast car
And I want a ticket to anywhere
Maybe we make a deal
Maybe together we can get somewhere

Any place is better
Starting from zero, got nothing to lose
Maybe we'll make something
Me, myself, I got nothing to prove

You got a fast car
I got a plan to get us out of here
I've been working at the convenience store
Managed to save just a little bit of money

Won't have to drive too far
Just across the border and into the city
You and I can both get jobs
Finally, see what it means to be living

See, my old man's got a problem
He live with the bottle, that's the way it is
He says his body's too old for working
His body's too young to look like his

Mama went off and left him
She wanted more from life than he could give
...

******* This Lyrics is NOT for Commercial use *******",0
18,265259301,"Okay, huh, mm, ah

I come and I go
Tell me all the ways you need me
I'm not here for long
Catch me or I go Houdini
I come and I go
Prove you got the right to please me
Everybody knows
Catch me or I go Houdini

Time is passin' like a solar eclipse
See you watchin' and you blow me a kiss
It's your moment, baby, don't let it slip
Come in closer, are you readin' my lips?

They say I come and I go
Tell me all the ways you need me
I'm not here for long
Catch me or I go Houdini
I come and I go
...

******* This Lyrics is NOT for Commercial use *******",0
19,272456959,"Okay, okay, okay

I'm 'bout to have a good day (good day)
No matter what they say (what they say)
The sun is shining down on me, birds are singing praise
I'm 'bout to have a good day (good day) in every single way
The God who made the universe knows me by my name
So it's a good day

Baby in my arms walking through the neighbourhood
Living in the present, not would've, should've or could
I remember back when I was low as a rug
Now I'm standing up, look at what my Father does

Turning old things new, grey skies blue
Hear the church saying ""Won't He do it""
I know He's got my back
That's why I'm singing that
...

******* This Lyrics is NOT for Commercial use *******",0
20,257113846,"I only talk to God when I need a favor
And I only pray when I ain't got a prayer
So, who the hell am I, who the hell am I to expect a savior?
Oh-oh-oh
If I only talk to God when I need a favor
But God, I need a favor

I know Amazing Grace
But I ain't been livin' them words
Swear I spend more Sundays
Drunk off my ass than I have in church
Hardcover King James
Only been savin' dust, on the nightstand
And I don't know what to say
By the time I fold my hands

I only talk to God when I need a favor
And I only pray when I ain't got a prayer
So, who the hell am I, who the hell am I to expect a savior?
...

******* This Lyrics is NOT for Commercial use *******",1
21,260057328,"Look, let me tell you
Girl

You my lil' boo thang
So I don't give a hoot what your dude say, girl, I know
You a lil' too tame
I'll be shooting that shot like 2K, girl, I know
Tell 'em I'm, tell 'em I'm next
Tell 'em you found a lil' something too fresh, I know
Tell 'em I'm, tell 'em I'm next
Tell 'em you found a lil' something too fresh, I know

Put a little gold in the teeth
And the fit good, so I took the doors off the Jeep, okay
I see a brother holding your seat, no beef
But I'm tryna get to know you at least
Don't take my talking to you wrong
I can keep it chill like a Sauvignon Blanc
I'ma keep it real when your man long gone
...

******* This Lyrics is NOT for Commercial use *******",0
22,199444360,"One, two, three

Somebody save me, me from myself
I've spent so long living in Hell
They say my lifestyle is bad for my health
It's the only thing that seems to help

All of this drinkin' and smokin' is hopeless
But feel like it's all that I need
Somethin' inside of me's broken
I hold on to anything that sets me free

I'm a lost cause
Baby, don't waste your time on me
...

******* This Lyrics is NOT for Commercial use *******",1
23,271037761,"Somebody save me, me from myself
I've spent so long livin' in hell
They say my lifestyle is bad for my health
It's the only thing that seems to help

All of this drinkin' and smokin' is hopeless
But feel like it's all that I need (all that I need)
Somethin' inside of me is broken
I hold on to anythin' that sets me free

I'm a lost cause (cause)
Baby, don't waste your time on me
I'm so damaged beyond repair
Life has shattered my hopes and my dreams
I'm a lost cause
...

******* This Lyrics is NOT for Commercial use *******",1
24,2663762,"He said ""I was in my early 40's
With a lot of life before me
When a moment came that stopped me on a dime
I spent most of the next days
Looking at the x-rays
Talkin' 'bout the options
And talkin' 'bout sweet times""

I asked him when it sank in
That this might really be the real end
How's it hit ya
When you get that kind of news?
Man whatcha do?
And he said

""I went skydiving
I went Rocky Mountain climbing
I went two point seven seconds on a bull named Fu Man Chu
And I loved deeper
And I spoke sweeter
And I gave forgiveness I'd been denyin' ""
...

******* This Lyrics is NOT for Commercial use *******",0
25,277509246,"Твоей тупизне нет предела
Пасть лучше закрой
Ты хочешь beef, так в чём же дело?
Я иду за тобой!

Меня бесит даже твой запах
Воняет говной
Опять скулишь как собака
Пришёл с огромной толпой

I hate you!

Your tongue is definitely not your friend
...

******* This Lyrics is NOT for Commercial use *******",1
26,181014511,"(Yeah, yeah, yeah, yeah)

Fever dream high in the quiet of the night
You know that I caught it
Bad, bad boy
Shiny toy with a price
You know that I bought it

Killing me slow, out the window
I'm always waiting for you to be waiting below
Devils roll the dice, angels roll their eyes
What doesn't kill me makes me want you more

And it's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, whoa, oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, whoa oh
It's a cruel summer
With you

Hang your head low
In the glow of the vending machine
...

******* This Lyrics is NOT for Commercial use *******",1
27,254492244,"Don't know where you're at
Don't know where you been
Don't know nothin' 'bout that boy you're into
Don't feel bad for you
But I feel bad for him
And all the hell you're gonna be puttin' him through

Probably tell him we're a burnt out flame
Probably tell him that I ain't been on your mind
How I ain't nothin' but a long gone thing
You can curse my name
But baby, don't you lie

When you're tastin' what he's drinkin', are you thinkin' 'bout me?
When you're ridin' where he's drivin', are you missin' my street?
Every time you close your eyes, tell me who do you see?
When you're tastin' what he's drinkin', are you thinkin' 'bout me?

Come on over tonight
Wish that truck in your drive was mine, just like you know it's supposed to be
...

******* This Lyrics is NOT for Commercial use *******",1
28,46341158,"The preacher man says it's the end of time
And the Mississippi River, she's a-goin' dry
The interest is up and the stock market's down
And you only get mugged if you go downtown

I live back in the woods you see
My woman and the kids and the dogs and me
I got a shotgun, a rifle and a four-wheel drive
And a country boy can survive
Country folks can survive

I can plow a field all day long
I can catch catfish from dusk 'til dawn (Yeah)
We make our own whiskey and our own smoke too
Ain't too many things these old boys can't do

We grow good-ole tomatoes and homemade wine
And a country boy can survive
Country folks can survive
...

******* This Lyrics is NOT for Commercial use *******",1
29,274345481,"Hello darkness, my old friend
I've come to talk with you again
Because a vision softly creeping
Left its seeds while I was sleeping
And the vision that was planted in my brain
Still remains within the sound of silence

In restless dreams I walked alone
Narrow streets of cobblestone
'Neath the halo of a streetlamp
I turned my collar to the cold and damp

When my eyes were stabbed
By the flash of a neon light
That split the night
And touched the sound of silence
...

******* This Lyrics is NOT for Commercial use *******",0
30,17079861,"I am insensitive, I have a tendency
To pay more attention to the things that I need
Sometimes I drink to much
Sometimes I test your trust
Sometimes I don't why you stay with me?

I'm hard to love, hard to love, oh, I don't make it easy
And, I couldn't do it if I stood where you stood
I'm hard to love, hard to love, and you say that you need me
I don't deserve it, but I love that you love me good
Mmm, yeah

I am a short fuse
...

******* This Lyrics is NOT for Commercial use *******",0
31,19225922,"You got a fast car
I want a ticket to anywhere
Maybe we make a deal
Maybe together we can get somewhere
Any place is better
Starting from zero, got nothing to lose
Maybe we'll make something
Me, myself, I got nothing to prove

You got a fast car
I got a plan to get us out of here
I been working at the convenience store
Managed to save just a little bit of money
Won't have to drive too far
Just 'cross the border and into the city
You and I can both get jobs
And finally see what it means to be living

See, my old man's got a problem
He lives with the bottle, that's the way it is
He says his body's too old for working
His body's too young to look like his
My mama went off and left him
She wanted more from life than he could give
I said, somebody's got to take care of him
...

******* This Lyrics is NOT for Commercial use *******",0
32,273336309,"I've been lookin' at you from across the room
'Bout time I got my nerve
And you might tell me, ""Boy, hell no""
But hell, what can hurt?
'Cause I just wanna spin you 'round and 'round this dance floor
Get you drunk on a love like mine
Might wind up and steal a couple kisses
Get your digits if I can find the right line
Well you don't do feelings, but, baby, if you're willin'
I'ma do my best to change your mind
'Cause the way you stole my heart without a sign
Girl, it oughta be a crime
Got a pretty good feelin' I'm takin' you home
...

******* This Lyrics is NOT for Commercial use *******",1
33,263358193,"Standing next to you

Play me slow
I push up on this funk and give me miracles (let ya body know)
Make it known
How we left and right is something we control (you already know)

You know that all night long we rock to this
Screaming, I testify this lovin'
All night long we flock to this
Screaming, I testify that we'll survive the test of time
They can't deny our love
They can't divide us, we'll survive the test of time
I promise I'll be right here

Standing next to you
Standing in the fire next to you, oh
You know it's deeper than the rain
It's deeper than the pain
When it's deep like DNA
...

******* This Lyrics is NOT for Commercial use *******",0
34,276810008,"If there's another universe
Please make some noise (noise)
Give me a sign (sign)
This can't be life

If there's a point to losing love
Repeating pain (why?)
It's all the same (same)
I hate this place

Stuck in this paradigm
Don't believe in paradise
This must be what Hell is like
There's got to be more, got to be more

Sick of this head of mine
Intrusive thoughts, they paralyze
Nirvana's not as advertised
There's got to be more, been here before

Oh (oh, ooh)
Life's better on Saturn
Got to break this pattern
Of floating away
...

******* This Lyrics is NOT for Commercial use *******",1
35,267830698,"Standing next to you

Play me slow
Push up on this funk and give me miracles
(Let ya body know)
Make it known
How we left and right is something we control
(You already know)

You know that all night long, we rock to this
Screamin', I'll testify this lovin'
All night long, we flock to this
Screamin', I'll testify that
We'll survive the test of time
They can't deny our love
They can't divide us
We'll survive the test of time
I promise I'll be right here

Standing next to you
Standing in the fire next to you, oh
You know it's deeper than the rain
It's deeper than the pain
When it's deep like DNA
Something they can't take away, ayy
...

******* This Lyrics is NOT for Commercial use *******",0
36,265275423,"In the middle of the night
I hear a cornfield coyote cry
Up at the moon, no matter what
Sky, I'm layin' under

In the eye of a hurricane
When I got one foot in the grave
I'll dig my boots into the dirt
And face the rollin' thunder

I'm five generations of blazin' a trail
Through barb-wired valleys and overgrown dells
I'm barefoot and bareback and born tough as nails
Whoa, whoa, whoa

I'm four-fifths of reckless and one-fifth of jack
...

******* This Lyrics is NOT for Commercial use *******",1
